Timestamp,Age,Gender,Income,Education,Used Freelance,Ease of aquiring freelance,Trust in freelance,Frequency of custom products,Wanted product that doesn�t exist,Benefit from customization,App interest,Matching preference,Making/buying preference,Factors
3/14/19 15:38,40-50,Male,$150k+,Bachelor's Degree,Yes,Somewhat difficult,Somewhat trustworthy,1-2 times per month,I'm not sure,"Clothing, Furniture",5,Find them myself,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Price"
3/14/19 15:38,26-33,Female,"$50,000-74,999",Master's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,"Home decor, Résumés/Templates, Furniture, Pet supplies, Jewelry",5,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Price"
3/14/19 15:40,40-50,Female,"$75,000-99,999","Professional Degree (MD, DDS, etc.)",Yes,Somewhat easy,Somewhat trustworthy,1-2 times per month,Yes,"Art, Home decor, Clothing, Résumés/Templates, Jewelry",4,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 15:46,18-25,Female,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Jewelry",4,Find them myself,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 16:47,40-50,Male,$150k+,"Some college, no degree",Yes,Somewhat difficult,Somewhat trustworthy,5-6 times per month,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Pet supplies",5,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price, communication"
3/14/19 17:24,40-50,Male,"$20,000-34,999",Associate Degree,Yes,Easy,Somewhat trustworthy,Never,Yes,Gardening equipment ,5,No preference,Learn to make it myself,"Reputation, Trustworthiness, Price"
3/14/19 18:07,60+,Female,"$75,000-99,999",Bachelor's Degree,Yes,Neutral,Somewhat trustworthy,1-2 times per month,Yes,"Home decor, Clothing, Pet supplies",4,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 18:39,18-25,Male,"$20,000-34,999",Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,"Home decor, Clothing, Résumés/Templates, Jewelry",2,Find them myself,Learn to make it myself,"Experience, Reputation, Trustworthiness, Price"
3/14/19 19:46,50-60,Male,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,Pet supplies,3,No preference,Buy it and let someone else make it,"Experience, Portfolio/sample work"
3/14/19 20:30,50-60,Female,$150k+,"Professional Degree (MD, DDS, etc.)",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Pet supplies, Jewelry",2,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Price"
3/14/19 21:41,40-50,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",7 or more times per month,Yes,Cell phone ,5,Be matched,No preference,"Experience, Reputation, Portfolio/sample work, Price"
3/14/19 22:06,50-60,Male,Prefer not to say,High School or equivalent (GED),Yes,Neutral,Very trustworthy,1-2 times per month,Yes,Pet supplies,3,Find them myself,Learn to make it myself,Experience
3/15/19 6:46,34-40,Female,"$50,000-74,999",Master's Degree,Yes,Easy,Very trustworthy,1-2 times per month,I'm not sure,"Home decor, Résumés/Templates, Jewelry",3,Be matched,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/15/19 16:27,18-25,Male,"$100,000-149,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Home decor, Clothing, Furniture",4,Find them myself,Learn to make it myself,"Experience, Reputation"
3/15/19 19:46,18-25,Male,"$20,000-34,999",High School or equivalent (GED),No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,No,"Art, Clothing",5,No preference,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/15/19 20:07,60+,Female,$150k+,"Some college, no degree",Yes,Very Easy,Somewhat trustworthy,Never,No,Home decor,2,Find them myself,Buy it and let someone else make it,Experience
3/17/19 13:42,18-25,Male,"$100,000-149,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,Clothing,3,Find them myself,Learn to make it myself,Experience
